bonus,"Бонус"
card_button,"Пополнить"
card_description,"Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает"
account_id,"ID аккаунта"
sum,"Сумма"
signup_helper,"Нет аккаунта?"
signup_link,"Зарегистрируйтесь"
thank,"Спасибо"
pay_success,"Платеж успешно проведен"
bonuses,"Бонусов"
info_success,"Пополняйте через BonusPay и с постоянными бонусами💰"
bill,"Квитанция"
menu,"Пополнить еще"
pay_deny,"Платёж отклонён"
info_deny,"Что-то пошло не так, Вы можете попробовать оплатить повторно или обратиться к менеджеру для решения проблемы"
support,"Поддержка"
tgpay_description,"Пополнение баланса"
pay_sum,"Сумма пополнения"
pay_type,"Выберите способ оплаты"
add_card,"Добавить карту"
enter_card,"Введите данные карты"
card_num,"Номер вашей карты"
card_terms,"Срок действия"
next,"Далее"
account-validity,"Ваш аккаунт НЕ валиден"